public_id,collection,docs_found,docs_updated,notes
jmn/ka7aoiq4jyobkkcztj6e,news,17,17,
jmn/em1zzpuknexxtlhmwygy,posters,1,1,
jmn/em1zzpuknexxtlhmwygy,news,1,1,
jmn/rsjfir2kqgyqyyvlnpzf,posters,1,1,
jmn/e7spyi12qy1qzhgy39d4,posters,1,1,
jmn/b2b8tdb2u48t1qnmwfnj,posters,1,1,
jmn/ijwvqc1f1q2ksh6xjjmk,posters,1,1,
jmn/fzxvwofgnuz4cgsqfdyi,posters,1,1,
jmn/pmbwvphelt4hchx1khxt,posters,1,1,
jmn/hzmnwft7ncnacjo74me0,posters,1,1,
jmn/ghhhk0ybi4rordjhtkfd,posters,1,1,
jmn/krpcjobortfy295bgaqh,posters,1,1,
jmn/krpcjobortfy295bgaqh,news,67,67,
jmn/novjuqc9u2mo0dxialq0,posters,1,1,
